No,ARS1,ARS2,ARS3,PI1,PI2,EV1,EV2,EV3,AU1,AU2,NBE1,NBE2,SSE1,SSE2,SSE3,SSE4
22,3.786709385,5.007659716,5.031292573,4.940468549,4.662154078,4.13015496,4.080920573,1.74142119,3.940988425,3.456521246,4.740027963,4.549674491,3.964943232,5.252003505,5.042918694,5.220464775
23,3.084921215,3.362106863,3.994980856,3.943297818,3.675248568,3.464267155,4.080920573,3.207969981,3.270512844,2.625111049,3.008048817,3.538481127,3.964943232,5.252003505,3.687790026,5.220464775
24,3.084921215,2.557522395,2.549652462,3.305939203,2.361671592,3.464267155,3.365550858,3.207969981,3.270512844,2.625111049,3.008048817,2.875019754,3.964943232,4.176997227,3.687790026,4.052079107
25,3.084921215,3.362106863,3.265875522,4.940468549,3.675248568,3.464267155,3.365550858,3.207969981,2.478680764,2.625111049,3.766167658,2.875019754,3.964943232,4.556951889,3.687790026,3.363346159
26,3.786709385,4.090712478,3.994980856,3.943297818,3.675248568,4.13015496,4.080920573,4.813470367,4.864501695,3.456521246,3.766167658,3.538481127,3.964943232,4.176997227,4.269448925,4.052079107
27,3.084921215,3.362106863,3.265875522,2.658366763,2.361671592,3.464267155,2.664130887,2.439757073,3.270512844,3.456521246,3.766167658,3.538481127,3.964943232,2.625686734,1.986699061,2.603006451
28,3.786709385,4.090712478,5.031292573,4.940468549,4.662154078,5.055628395,5.055628395,4.813470367,4.864501695,4.422240855,4.740027963,4.549674491,3.964943232,5.252003505,5.042918694,5.220464775
29,2.334991194,2.557522395,3.265875522,3.943297818,3.675248568,3.464267155,3.365550858,3.207969981,3.270512844,2.625111049,3.766167658,3.538481127,3.35434185,3.522139765,3.687790026,3.363346159
30,4.742517933,5.007659716,3.994980856,4.940468549,4.662154078,5.055628395,5.055628395,3.912934008,3.940988425,4.422240855,4.740027963,4.549674491,4.838569838,4.556951889,4.269448925,5.220464775
31,3.786709385,4.090712478,3.994980856,3.943297818,3.011415975,4.13015496,4.080920573,3.912934008,3.940988425,3.456521246,3.766167658,3.538481127,3.964943232,4.556951889,4.269448925,4.52340168
